id,followers,genres,name,popularity
0DhFxctImIYNNSEHuLQi5U,2.0,[],Jim Chapman,0
14jtPCOoNZwquk5wd9DxrY,3.0,[],Fernando Pessoa,0
2nuMRGzeJ5jJEKlfS7rZ0W,15.0,[],Francis Marty,0
45tIt06XoI0Iio4LBEVpls,91.0,[],Uli,4
4XVZpokXbUzg6QeomBANY9,0.0,[],Grandcubby Trio,0
4ZACxcKyd37u9WSxCAvLP2,3.0,[],Jeanne Saint Bonnet,0
4mSouLpNSEY1d7OdIjlFiP,80.0,[],Lucien Boyer,4
5nWlsH5RDgFuRAiDeOFVmf,11.0,[],Greg Fieler,0
7vVR02JJYvsEAEPNHQMx0Q,2.0,[],Victor Boucher,0
6RuQvIr0t0otZHnAxXTGkm,2076.0,['harlem renaissance'],Clarence Williams' Blue Five,18
1EQqiD2tkdi1I8ma1cRTu2,101.0,[],Seger Ellis,17
2cHJZtTn8AIEmu0cTJ79YY,510.0,[],Hykoski Studios,12
7EwPtp3HM2j3uiexxubIU8,334.0,['pre-war blues'],Maggie Jones,8
4hLtcEEpjCmBtTnDdzRV4J,13.0,[],Janusz Korczak,6
07sKTBUO7zrJgSuJI49drh,3.0,[],FanChants: Navijači Radnički 1923,0
0M4frxvpsMfTnxQLxgMUQ0,77.0,['harlem renaissance'],Margaret Johnson,2
1DgyeM38erNK7yB3Tpovwm,8.0,[],Gaby Montbreuse,0
22LX0GIeZSiIMBpOJB29TG,44.0,[],Pablo Pastor,0
2QW0xmAuyzCQEBkSkytvGG,8.0,[],Edmée Favart,0
3E3AwPbm9ShPKXVDsMp5Zy,8.0,[],Harry Curtis,0
57E84vHYeaC12Z1Eh4JUfG,7.0,[],Hafız Ahmet Celâl Tokses,0
5Vnm5UgicpVHp4AnOiXfLC,11.0,[],Macarti,0
5WEy7rY6Km6Qr6hNHHIqko,58.0,[],Erskine Tate's Vendome Orchestra,1
5erkc9lY3oRsWXctqjvqrC,28.0,[],Carroll Dickerson's Savoyagers,2
6aBqqbACwuEo7wFkex4zA1,7.0,[],The Southern Serenaders,1
7DO7gbz8iRaDsj1ft0dXjl,4.0,[],Nolan Welsh,1
7Ir39wGyJWCQ9gmRqMlOvR,0.0,[],4509 STARPASS Prodcutions,0
3W2HiY9Z3zYbqyqj4wQMPv,561.0,[],Duke Ellington & His Washingtonians,20
5jbJpn1ybTvalFiiWAJwyp,34.0,[],Dombrova Piano Duo,8
07njlsjhMnHqTjCkXdXAvS,11.0,[],Robert Marino,0
0Jmidd7JD7kiYOmOJnvts2,132.0,[],Sara Gee & Ramblin Matt,2
0fS2vDwpa0yPLvxgQZoh10,289.0,"['harmonica blues', 'jug band']",Daddy Stovepipe,2
0hKr2636wsQI7PrARkAiaA,25.0,['vintage chanson'],Fortugé,0
0uX8W8ZnuZIybyllsCONBP,28.0,[],Jimmy Rushing And His Orchestra,0
0uuP4psrkDntNppyU2BitG,52.0,['pre-war blues'],Ed Andrews,0
11fxBofKTfKykfOt2904lu,3.0,[],Sara Martin & Her Jug Band,0
18mX1gMCx67ZdPRtv644Wi,37.0,[],Dréan,0
1J7bk889HO27E8RcepkcJe,7.0,[],Mlle Davia,0
1PuqL57eYxjlY7RUvx7mXc,2.0,[],Jailess,0
28pbIiOohRRZjqpAM9iqYM,39.0,['vintage chanson'],Louis Lynel,2
4Kgs9iA4BoIyqZnfr13nUA,0.0,[],Bayan Sultan,0
6MtRfuEsJU1oVzFDdEkzRw,6.0,[],René De Buxeuil,0
6NyLf1mINBZQcR8gWeE5kC,16.0,[],Maria Konopnicka,0
6aocxbKuoyOPyhsg5CrrbD,29.0,[],Teddy Wilson & His All-Stars,1
70dErSfvbf7mmBdroUIyvf,193.0,[],Lillie Delk Christian,5
07QZLQqmOGbPIb0ZzZktkA,39.0,['vintage chanson'],Emma Liebel,0
491s7aNxBMoI7BOkwFwgbl,20.0,[],Robert Jysor,0
4avV2NAdyMOjy4qqYfKNR7,20.0,[],Adolphe Bérard,0
7DIlOK9L8d0IQ7Xk8aJxDW,294.0,['vintage chanson'],Félix Mayol,4
2m2vWbN6WZU0Mtv569ndeb,2016.0,['traditional blues'],Sylvester Weaver,25
2kBMqLbeN3STYqwPqJW45j,28.0,['vintage chanson'],Perchicot,0
1sPDyROEgOvKQlReOg874E,1185.0,['vintage swing'],"Bertha ""Chippie"" Hill",17
45tQpWrlBy4DMpfAriqfcC,474.0,['vintage jazz'],George Olsen,11
5ESobCkc6JI4tIMxQttqeg,116265.0,"['blues', 'harlem renaissance', 'jazz blues', 'traditional blues']",Bessie Smith,44
267SHEPfqnF16IEmwbLhLQ,37566.0,[],Louis Armstrong & His Hot Seven,26
1TxfZgmlWImcpYwIP8F157,11237.0,[],Louis Armstrong & His Savoy Ballroom Five,25
0nInCTftDFxkPEhv9WmcbP,7.0,[],Iván Rolón,3
0t4VVR2T9Sb0z3NdDdEU6S,21786.0,['new orleans jazz'],Louis Armstrong & His Hot Five,34
1uqQ5ut95nC5C5jMDWlkJv,53.0,['vintage chanson'],André Baugé,4
0Yly6PvJghpLD3Lj8Kvpcj,675.0,['vintage chanson'],Georgius,8
4CS6boY7NQGD74SkUvlqp4,339.0,['vintage chanson'],Dranem,5
3QoXKZbCyXdvAkA5waeXTc,521.0,['vintage chanson'],Georges Milton,9
41GUFwc0gpqt495qHXpxFB,3.0,[],Dampfwalzi,0
0ceJesJTMQFYalVhYf4aed,3897.0,[],Louis Armstrong & His Sebastian New Cotton Club Orchestra,15
1YLCjQ0VGQkuXJVcrjrgLc,0.0,[],Bijoylal Mukherjee,0
5LiOoJbxVSAMkBS2fUm3X2,3528.0,"['tango', 'vintage tango']",Ignacio Corsini,23
5lrfVtLwGtd055aUIJUgT5,7.0,[],Marie Earth Heart,3
6JXytsNesnjzxv4tHWbe9I,5933.0,[],Yiyo y Los Chicos 10,34
4j0ldreNkSwBod9VBIzWqj,125.0,['vintage chanson'],Fred Gouin,5
6UftTZlUzZBBl2ctjzLQ1w,132.0,[],Lionel Hampton Orchestra,8
0xsueYxjFxn3v5VAR9YkT9,36040.0,"['turkish classical', 'turkish jazz']",Safiye Ayla,32
4AxgXfD7ISvJSTObqm4aIE,5078.0,['vintage chanson'],Mistinguett,22
3GAp4nVDIMnsYFZnD9DWSz,2604.0,"['big band', 'jazz blues', 'jazz trumpet', 'stride', 'swing']",Hot Lips Page,21
08Zk65toyJllap1MnzljxZ,7576.0,"['big band', 'stride', 'vintage jazz']",King Oliver's Creole Jazz Band,23
3ZeU30PhqVBalNYg2SFNZN,6243.0,"['big band', 'stride', 'swing', 'vintage jazz']",Fletcher Henderson & His Orchestra,28
3BiJGZsyX9sJchTqcSA7Su,11327.0,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']",Dick Haymes,35
0Y0ZlznP6vzTS1qAm5dvTN,48042.0,"['appalachian folk', 'bluegrass', 'folk', 'old-time', 'traditional country', 'traditional folk', 'yodeling']",Jimmie Rodgers,39
2maQMqxNnlRrBrS1oAsrX9,16774.0,"['tango', 'vintage tango']",Francisco Canaro,40
3QXjI80udwDSEfxK5BjUXc,14724.0,"['cabaret', 'vintage hollywood']",Maurice Chevalier,39
6QBUIuGCAJSAtefEY1EEdB,58945.0,"['gospel', 'spirituals']",Mahalia Jackson,43
4F7Q5NV6h5TSwCainz8S5A,696099.0,"['adult standards', 'african-american classical', 'big band', 'cool jazz', 'harlem renaissance', 'jazz', 'jazz piano', 'lounge', 'stride', 'swing', 'vocal jazz']",Duke Ellington,63
19eLuQmk9aCobbVDHc6eek,2256652.0,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'new orleans jazz', 'soul', 'swing', 'vocal jazz']",Louis Armstrong,74
5aIqB5nVVvmFsvSdExz408,3149269.0,"['baroque', 'classical', 'early music', 'german baroque']",Johann Sebastian Bach,81
